能力ID,类型,触发器,冷却,参数名1,参数1,参数名2,参数2,参数名3,参数3,持续时间,名字,描述,所属流派,稀有度,可选次数,武器通用能力,是否基础能力,是否进图鉴,是否正常投放
94,spawn,onDead,,spawnSplit,106,,3,,,,死亡召唤小胖,,,,,,,,
95,spawn,onDead,,spawnSplit,10,,2,,,,死亡召唤小史,,,,,,,,
96,other,onDead,,bodyDead,,,,,,,鱼维坦死亡,,,,,,,,
97,spawn,onBorn,,spawnUnit,986,,1,selfPos,,,300金骷髅给自己盖住,,,,,,,,
98,spawn,onBorn,,spawnUnit,801,,1,selfPos,,,311金骷髅给自己盖住,,,,,,,,
99,other,onBorn,,disappear,,,,,,,313金骷髅暂时消失,,,,,,,,
100,other,onDead,,catDead,,,,,,,炸弹猫死亡,,,,,,,,
101,ability,onDoorDead,,handleBossDoor,116,,16,,15,,990商人,,,,,,,,
102,ability,onDoorDead,,handleBossDoor,50,,15,,14,,976宝箱大王,,,,,,,,
103,ability,onDoorDead,,handleBossDoor,51,,15,,14,,975史莱姆王,,,,,,,,
104,ability,onDoorDead,,handleBossDoor,37,,13,,13,,972树精,,,,,,,,
105,ability,onDoorDead,,handleBossDoor,52,,9,,14,,971炸弹猫,,,,,,,,
106,ability,onDoorDead,,handleBossDoor,53,,15,,14,,970龙蝇,,,,,,,,
107,ability,onDoorDead,,handleBossDoor,54,,15,,14,,969小电视,,,,,,,,
108,ability,onDoorDead,,chDoor,21,,,,,,977新手村传送门,,,,,,,,
109,player,firstTurn,,changeRandomWeapon,,,,,,,开局随机换武器,,,,,,,,
110,spawn,firstTurn,,spawnAvatar,,,,,,,开局召唤分身,,,,,,,,
111,other,onPlayerOverLap,,addMoney,1,,,,,,踩中获得1金币,,,,,,,,
112,other,onPlayerOverLap,,addMoney,3,,,,,,踩中获得3金币,,,,,,,,
113,other,onPlayerOverLap,,addApple,1,,,,,,踩中回复1血,,,,,,,,
114,other,onPlayerOverLap,,addApple,3,,,,,,踩中回复3血,,,,,,,,
115,other,onPlayerOverLap,,addSoul,1,,,,,,210踩中获得1魂,,,,,,,,
116,other,onPlayerOverLap,,addKey,1,,,,,,216踩中获得1钥匙,,,,,,,,
117,other,onPlayerOverLap,,unlockWeapon,1305,,,,,,218解锁连弩武器,,,,,,,,
118,spawn,onOverLap,,spawnIceAtkDelay,820,,,,,,836天上掉冰墙,,,,,,,,
119,other,onOverLap,,lapEnvironemnt,,,,,,,1436踩中环境,,,,,,,,
120,other,onPlayerOverLap,,damage,10,,,,,,902必掉血陷阱,,,,,,,,
121,other,onGroundOverLap,,iceRun,,,,,,,821冰面,,,,,,,,
122,other,onGroundOverLap,,waterFly,,,,,,,819喷泉,,,,,,,,
123,other,onGroundOverLap,,bombExplode,,,,,,,219地雷,,,,,,,,
124,other,onPlayerOverLap,,addSoul,5,,,,,,242踩中获得5魂,,,,,,,,
125,ability,onDoorDead,,handleAbilityDoor,,devil,,,,,967去女神房间,,,,,,,,
126,other,onBorn,,tileSprite,,,,,,,804水837悬崖,,,,,,,,
127,other,onGroundOverLap,,waterDead,,,,,,,掉水里,,,,,,,,
128,spawn,onDropInWater,,spawnUnit,828,,1,selfPos,,,849掉水里召唤浮木,,,,,,,,
129,other,onBorn,,setLattice,0,,,,,,出生可通行,,,,,,,,
130,other,onOverLap,,bodyAtk,,,,,,,209身体,,,,,,,,
131,other,turn,,showSelfWhenOverLap,1122,,,,,,被1122碰到就现身,,,,,,,,
132,other,turn,,hideHpBar,,,,,,,隐藏血条,,,,,,,,
133,spawn,onDead,,spawnResource,202,,1,,,,死亡召唤苹果,,,,,,,,
134,selfUnit,turn,,ShowLightningEffect,,,,,,,攻击带闪电视觉效果,,,,,,,,
135,other,onBorn,,onWaterCheck,,,,,,,把水变成可通行,,,,,,,,
136,showUI,onDead,,showInputUI,,,,,,,死亡打开种子UI,,,,,,,,
137,ability,onDoorDead,,handleAbilityDoor,,weapon,,,,,966去锻造房间,,,,,,,,
138,ability,onDoorDead,,bossRushDoor,,,,,,,965BOSSRUSH传送门,,,,,,,,
139,other,firstTurn,,surrender,,,,,,,幸运猎人投降,,,,,,,,
140,ability,onDoorDead,,handleBossDoor,36,,15,,14,,955女神BOSS,,,,,,,,
141,other,onBorn,,rotateForever,,,,,,,永久旋转,,,,,,,,
142,other,hurtByPlayer,,donateKey,,,,,,,1115老奶捐款,,,,,,,,
143,other,onBorn,,checkKeyBox,,,,,,,1115检查开口,,,,,,,,
144,other,hurtByPlayer,,changeFireOrNot,,,,,,,813熄灭打开,,,,,,,,
145,other,onBorn,,setDark,,,,,,,813开局熄灭,,,,,,,,
146,other,onDead,,checkEgg,,,,,,,1116检查龙蛋,,,,,,,,
147,spawn,onDropInWater,,spawnUnit,856,,1,selfPos,,,802掉水里召唤浮箱,,,,,,,,
148,ability,onDoorDead,,chDoor,11,,,,,,964密道传送门,,,,,,,,
149,other,hurtByPlayer,,useKeyOpen,1,,,,,,818钥匙开木门,,,,,,,,
150,other,onBorn,,changeSpriteInCh,11,change,,,,,999在地牢变形象,,,,,,,,
151,spawn,turn,5,spawnUnit,61,,1,enemy,,,122召唤幽灵,,,,,,,,
152,selfUnit,hurt,,SetSprite,,,,,,,1131被打哭,sad,,,,,,,
153,other,onDead,,StartDialogue,,,,,,,1131被打死,史莱姆王在岛上被打死,,,,,,,
154,other,onDead,,killAllEnemy,,,,,,,打死消灭所有敌人,,,,,,,,
155,selfUnit,onBorn,,SetSprite,,,,,,,1132史莱姆开心,happy,,,,,,,
156,ability,onDead,,cannonDead,,,,,,,831加农死亡,,,,,,,,
157,ability,turn,,cannonTurn,,,,,,,831加农每回合,,,,,,,,
158,ability,hurtByPlayer,,cannonHurt,,,,,,,831加农被打,,,,,,,,
159,other,turn,,checkOpenGate,,,,,,,1448骷髅头解谜,,,,,,,,
160,ability,onDoorDead,,handleAbilityDoor,,cave,,,,,963去洞窟房间,,,,,,,,
161,other,onDead,,lightDemonSoul,,,,,,,861灵魂灯,,,,,,,,
162,spawn,onDead,,spawnUnit,803,,1,selfPos,,,精英怪掉道具袋,,,,,,,,
163,other,onDead,,treasureGame,,,,,,,1134抽宝箱,,,,,,,,
164,other,onDead,,chooseAbilityID,,,,,,,863选中融合能力,,,,,,,,
165,other,onBorn,,reducePlayerSight,99,,,,,,124开局减少玩家视野,,,,,,,,
166,other,onBorn,,addBaseBlack,0.5,,,,,,124开局全体变黑,,,,,,,,
167,other,turn,,checkFireAllLight,,,,,,,124检查是不是都点亮了,,,,,,,,
168,buff,hurtByBomb,,scareBuff,,self,,,,,124被炸弹炸了恐惧,,,,,,,,
169,spawnBomb,onBorn,,unActive,20,,10,,,,124开场召唤未激活炸弹,,,,,,,,
170,spawn,hurt,2,spawnResource,203,,1,,,,受伤2次掉1金币,,,,,,,,
171,ability,onDoorDead,,handleBossDoor,124,,18,,14,,962年兽,,,,,,,,
172,other,hurtByPlayer,,wishWaterGoDoor,962,,,,,,866许愿池去年兽,,,,,,,,
173,spawn,onOverLap,,spawnBulletRight,232,,,,,,867踩中触发左侧魔神剑气,,,,,,,,
174,other,onDead,,appleGameButton,247,,,,,,868苹果抽奖按钮,,,,,,,,
175,other,hurt,,hurtByAppleGame,247,,,,,,869苹果托盘,,,,,,,,
176,spawn,onBorn,,spawnBossFriend,67,,3,,,,66召唤幽灵伙伴,,,,,,,,
177,showUI,onDead,,showSkinUI,,,,,,,961死亡打开皮肤UI,,,,,,,,
178,selfUnit,onDead,,PlaySound,,,,,,,985解谜成功,puzzleSuccese,,,,,,,
179,other,hurt,,hurtBy870,,,,,,,870被打合体,,,,,,,,
180,selfUnit,turn,,TakeDamageBySelf,-9,,,,,,66回血,,,,,,,,
181,selfUnit,onBorn,,UpdateShowNum,,,,,,,870开场展示数字,,,,,,,,
182,ability,onDoorDead,,handleBossDoor,66,,16,,14,,960猪猪存钱罐,,,,,,,,
183,spawn,onBorn,,spawnResource,203,,6,,,,960猪猪存钱罐,,,,,,,,
184,other,onDead,,murderBy870,,,,,,,871被打x2,,,,,,,,
185,other,onBorn,,StartDialogue,,,,,,,123开局说话,超大史莱姆王第1次相遇,,,,,,,
186,spawn,hurt,2,spawnSlime,,,1,enemy,,,123被打召唤史莱姆,,,,,,,,
187,other,hurtByPlayer,,showDonateHP,,,,,,,1104女神被打,,,,,,,,
189,spawn,onDead,,spawnResource,210,,3,,,,精英怪掉灵魂,,,,,,,,
190,showUI,onDead,,showRoyalSkinUI,,,,,,,959死亡打开王城装饰UI,,,,,,,,
191,other,onOverLap,,birdFly,,,,,,,1453小鸟起飞,,,,,,,,
192,other,onBorn,,startBirdIdleAnmi,,,,,,,1453小鸟待机,,,,,,,,
193,showUI,onDead,,showLeaderBoardUI,,,,,,,1136打开排行榜UI,,,,,,,,
194,other,onBorn,,setSpriteByCheck,1,,,,,,1465幸运猎人,,,,,,,,
195,other,onBorn,,setSpriteByCheck,2,,,,,,1466闪电公爵,,,,,,,,
196,other,onBorn,,setSpriteByCheck,3,,,,,,1464黑龙女皇,,,,,,,,
197,other,hurt,10,moveAway,7,,,,,,11帅被打闪现,,,,,,,,
198,other,onGroundOverLap,,damage,1,,,,,,222岩浆玩家踩了还掉血,,,,,,,,
199,showUI,onDead,,showCommentUI,,,,,,,1137打开评价UI,,,,,,,,
200,other,onBorn,,setSpriteByCheck,4,,,,,,1462魔王右手/小狗,,,,,,,,
201,other,onBorn,,setSpriteByCheck,5,,,,,,1463勇者,,,,,,,,
202,passive,onBorn,,stopAllSkill,1,,,,,,67锁住所有技能,,,,,,,,
203,ability,onDoorDead,,chDoor,21,must,,,,,957新手虫洞,,,,,,,,
204,ability,onDoorDead,,chDoor,11,must,,,,,956直接去地牢,,,,,,,,
205,selfUnit,onDead,,PlaySound,,,,,,,833罐头破碎,bottleBroken,,,,,,,
206,other,onDead,,playBorkenEffect,,,,,,,833罐头破碎,,,,,,,,
207,other,turn,,unlockNoHurt,100,,,,,,100回合不打勇者,,,,,,,,
208,other,onOverLap,,lapSkeletonEnvironemnt,,,,,,,1470踩中环境,,,,,,,,
209,selfUnit,hurt,,PlaySound,,,,,,,68被打哭泣,hurt_cry,,,,,,,
210,spawn,onDead,,spawnProp,6003,,1,,,,69死亡获得魅惑笛,,,,,,,,
211,spawn,onDead,,spawnResource,210,,10,,,,69死亡灵魂,,,,,,,,
212,showUI,hurtByPlayer,10,showNpcUI,,battleCanShow,,,,,墨菲展示UI,,,,,,,,
213,other,onDead,,hurtBackEnemy,,,,,,,849死亡对敌人反伤,,,,,,,,
214,other,onBorn,,changeBaZi,,,,,,,1473靶子彩蛋,,,,,,,,
215,showUI,onDead,,showFriendUI,,,,,,,死亡打开联机界面,,,,,,,,
